02A | 0000000140010346 | 45:8B1A                  | mov r11d,dword ptr ds:[r10]             | r11: 15FB70-> FFFFFFFE                            | 00000001400114B7: A7FFFFFFFE-> A7FFFFFFFE         |
02B | 0000000140010349 | 49:83C2 04               | add r10,4                               | r10: 1400114B7-> 1400114BB rflags: A96-> 206      |                                                   |
02C | 000000014001034D | 45:29CB                  | sub r11d,r9d                            | r11: FFFFFFFE-> 789C9B46 rflags: 206-> 202        |                                                   |
02D | 0000000140010350 | 45:31CB                  | xor r11d,r9d                            | r11: 789C9B46-> FFFFFFFE rflags: 202-> 282        |                                                   |
02E | 0000000140010353 | 41:F7D3                  | not r11d                                | r11: FFFFFFFE-> 1                                 |                                                   |
02F | 0000000140010356 | 45:01D9                  | add r9d,r11d                            | r9: 876364B8-> 876364B9                           |                                                   |
030 | 0000000140010359 | 49:C1E3 20               | shl r11,20                              | r11: 1-> 100000000 rflags: 282-> 206              |                                                   | r11:"愾S"
031 | 000000014001035D | 4C:09D9                  | or rcx,r11                              | rcx: 4000828C-> 14000828C rflags: 206-> 202       |                                                   | r11:"愾S"
032 | 0000000140010360 | 49:83EF 08               | sub r15,8                               | r15: 15FC88-> 15FC80                              |                                                   |
033 | 0000000140010364 | 49:890F                  | mov qword ptr ds:[r15],rcx              |                                                   | 000000000015FC80: 7FFDBC5A7C00-> 14000828C        |
034 | 0000000140010367 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 14000828C-> A7                               | 00000001400114BB: 3B000000A7-> 3B000000A7         |
035 | 000000014001036A | 49:83C2 04               | add r10,4                               | r10: 1400114BB-> 1400114BF                        |                                                   |
036 | 000000014001036E | 44:29C9                  | sub ecx,r9d                             | rcx: A7-> 789C9BEE rflags: 202-> 217              |                                                   |
037 | 0000000140010371 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C9BEE-> FFFFFF57 rflags: 217-> 282        |                                                   |
038 | 0000000140010374 | F7D1                     | not ecx                                 | rcx: FFFFFF57-> A8                                |                                                   |
039 | 0000000140010376 | 41:01C9                  | add r9d,ecx                             | r9: 876364B9-> 87636561 rflags: 282-> 292         |                                                   |
03A | 0000000140010379 | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 00000001400111EF: 140010A7A-> 140010A7A           |
03B | 0000000140010A7A | 49:8B0F                  | mov rcx,qword ptr ds:[r15]              | rcx: A8-> 14000828C                               | 000000000015FC80: 14000828C-> 14000828C           |
03C | 0000000140010A7D | 49:83C7 08               | add r15,8                               | r15: 15FC80-> 15FC88 rflags: 292-> 206            |                                                   |
03D | 0000000140010A81 | 4C:8B19                  | mov r11,qword ptr ds:[rcx]              | r11: 100000000-> 6C6C654800000000                 | 000000014000828C: 6C6C654800000000-> 6C6C65480000 | r11:"愾S"
03E | 0000000140010A84 | 49:83EF 08               | sub r15,8                               | r15: 15FC88-> 15FC80 rflags: 206-> 202            |                                                   |
03F | 0000000140010A88 | 4D:891F                  | mov qword ptr ds:[r15],r11              |                                                   | 000000000015FC80: 14000828C-> 6C6C654800000000    | r11:"愾S"
040 | 0000000140010A8B | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 14000828C-> 3B                               | 00000001400114BF: FFFFFFF90000003B-> FFFFFFF90000 |
041 | 0000000140010A8E | 49:83C2 04               | add r10,4                               | r10: 1400114BF-> 1400114C3 rflags: 202-> 216      |                                                   |
042 | 0000000140010A92 | 44:29C9                  | sub ecx,r9d                             | rcx: 3B-> 789C9ADA rflags: 216-> 203              |                                                   |
043 | 0000000140010A95 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C9ADA-> FFFFFFBB rflags: 203-> 286        |                                                   |
044 | 0000000140010A98 | F7D1                     | not ecx                                 | rcx: FFFFFFBB-> 44                                |                                                   |
045 | 0000000140010A9A | 41:01C9                  | add r9d,ecx                             | r9: 87636561-> 876365A5                           |                                                   |
046 | 0000000140010A9D | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 0000000140010ECF: 1400103D9-> 1400103D9           |
047 | 00000001400103D9 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 44-> FFFFFFF9                                | 00000001400114C3: 6FFFFFFFF9-> 6FFFFFFFF9         |
048 | 00000001400103DC | 49:83C2 04               | add r10,4                               | r10: 1400114C3-> 1400114C7 rflags: 286-> 202      |                                                   |
049 | 00000001400103E0 | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFFF9-> 789C9A54                          |                                                   |
04A | 00000001400103E3 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C9A54-> FFFFFFF1 rflags: 202-> 282        |                                                   |
04B | 00000001400103E6 | F7D1                     | not ecx                                 | rcx: FFFFFFF1-> E                                 |                                                   |
04C | 00000001400103E8 | 41:01C9                  | add r9d,ecx                             | r9: 876365A5-> 876365B3 rflags: 282-> 292         |                                                   |
04D | 00000001400103EB | 4D:8B1F                  | mov r11,qword ptr ds:[r15]              |                                                   | 000000000015FC80: 6C6C654800000000-> 6C6C65480000 | r11:"愾S"
04E | 00000001400103EE | 49:83C7 08               | add r15,8                               | r15: 15FC80-> 15FC88 rflags: 292-> 206            |                                                   |
04F | 00000001400103F2 | 83F9 10                  | cmp ecx,10                              | rflags: 206-> 283                                 |                                                   |
050 | 00000001400103F5 | 75 17                    | jne consoleapplication1_protected - 副本. |                                                   |                                                   |
051 | 000000014001040E | C1E1 03                  | shl ecx,3                               | rcx: E-> 70 rflags: 283-> 202                     |                                                   |
052 | 0000000140010411 | 41:53                    | push r11                                | rsp: 15DD10-> 15DD08                              | 000000000015DD08: 0-> 6C6C654800000000            | r11:"愾S"
053 | 0000000140010413 | 49:BB 270C014001000000   | mov r11,consoleapplication1_protected - | r11: 6C6C654800000000-> 140010C27                 |                                                   | r11:"愾S"
054 | 000000014001041D | 49:01CB                  | add r11,rcx                             | r11: 140010C27-> 140010C97                        |                                                   | r11:"愾S"
055 | 0000000140010420 | 59                       | pop rcx                                 | rcx: 70-> 6C6C654800000000 rsp: 15DD08-> 15DD10   | 000000000015DD08: 6C6C654800000000-> 6C6C65480000 |
056 | 0000000140010421 | 49:890B                  | mov qword ptr ds:[r11],rcx              |                                                   | 0000000140010C97: 2F-> 6C6C654800000000           | r11:"愾S"
057 | 0000000140010424 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 6C6C654800000000-> 6F                        | 00000001400114C7: FFFFFFF90000006F-> FFFFFFF90000 |
058 | 0000000140010427 | 49:83C2 04               | add r10,4                               | r10: 1400114C7-> 1400114CB                        |                                                   |
059 | 000000014001042B | 44:29C9                  | sub ecx,r9d                             | rcx: 6F-> 789C9ABC rflags: 202-> 203              |                                                   |
05A | 000000014001042E | 44:31C9                  | xor ecx,r9d                             | rcx: 789C9ABC-> FFFFFF0F rflags: 203-> 286        |                                                   |
05B | 0000000140010431 | F7D1                     | not ecx                                 | rcx: FFFFFF0F-> F0                                |                                                   |
05C | 0000000140010433 | 41:01C9                  | add r9d,ecx                             | r9: 876365B3-> 876366A3                           |                                                   |
05D | 0000000140010436 | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 000000014001142F: 14001037C-> 14001037C           |
